,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough
3,4,0.04356652709,0.00011187195,Alphabet City,4,Manhattan
11,12,0.03666130136,4.1511620000000006e-05,Battery Park,12,Manhattan
12,13,0.050281322860000005,0.00014935859,Battery Park City,13,Manhattan
23,24,0.04699996193,6.072357e-05,Bloomingdale,24,Manhattan
40,41,0.05279310945,0.00014309303999999998,Central Harlem,41,Manhattan
41,42,0.09270922745999999,0.00026389695,Central Harlem North,42,Manhattan
42,43,0.09973861836000002,0.00037966290999999995,Central Park,43,Manhattan
44,45,0.04590686262,9.135947e-05,Chinatown,45,Manhattan
47,48,0.04374674414,9.425384e-05,Clinton East,48,Manhattan
49,50,0.05574798675,0.00017324928,Clinton West,50,Manhattan
67,68,0.049337379560000005,0.00011107338,East Chelsea,68,Manhattan
73,74,0.11029093625,0.00029503842,East Harlem North,74,Manhattan
74,75,0.08766389977,0.00024056392999999995,East Harlem South,75,Manhattan
78,79,0.04262491131,0.00010789306999999998,East Village,79,Manhattan
86,87,0.03690154961,6.720501999999999e-05,Financial District North,87,Manhattan
87,88,0.03520460353,5.729995e-05,Financial District South,88,Manhattan
89,90,0.03075916208,5.531325e-05,Flatiron,90,Manhattan
99,100,0.02481310903,3.747002e-05,Garment District,100,Manhattan
102,103,0.014305516730000002,6.330560000000001e-06,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
103,104,0.02122083309,1.1920530000000001e-05,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
104,105,0.07742533983,0.00036863638999999994,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
106,107,0.03804136459,7.461122e-05,Gramercy,107,Manhattan
112,113,0.03274535057,5.796346e-05,Greenwich Village North,113,Manhattan
113,114,0.03172703477,4.702077e-05,Greenwich Village South,114,Manhattan
115,116,0.06811648443,0.00026041534,Hamilton Heights,116,Manhattan
119,120,0.08326127022,9.314628000000001e-05,Highbridge Park,120,Manhattan
124,125,0.049732212180000006,7.642931999999999e-05,Hudson Sq,125,Manhattan
126,127,0.06001888557999999,0.00016319565000000002,Inwood,127,Manhattan
127,128,0.07020902907000001,0.00020740598,Inwood Hill Park,128,Manhattan
136,137,0.04610762427,0.0001164551,Kips Bay,137,Manhattan
139,140,0.04758429113,0.00011420391000000001,Lenox Hill East,140,Manhattan
140,141,0.041514463870000004,7.665456e-05,Lenox Hill West,141,Manhattan
141,142,0.03817589423,7.565379e-05,Lincoln Square East,142,Manhattan
142,143,0.054179853879999997,0.00015109427,Lincoln Square West,143,Manhattan
143,144,0.02762016685,4.747897e-05,Little Italy/NoLiTa,144,Manhattan
147,148,0.03913050156,6.974899e-05,Lower East Side,148,Manhattan
150,151,0.054889941100000006,0.0001288489,Manhattan Valley,151,Manhattan
151,152,0.05790947687999999,0.00014663764,Manhattanville,152,Manhattan
152,153,0.02473723902,3.2468499999999996e-05,Marble Hill,153,Manhattan
157,158,0.05480999055,0.00018556825,Meatpacking/West Village West,158,Manhattan
160,161,0.03580391006,7.191306999999999e-05,Midtown Center,161,Manhattan
161,162,0.03526981462,4.78937e-05,Midtown East,162,Manhattan
162,163,0.034176866980000005,4.085678e-05,Midtown North,163,Manhattan
163,164,0.035771611989999993,5.563182e-05,Midtown South,164,Manhattan
165,166,0.06882375429,0.00025527627,Morningside Heights,166,Manhattan
169,170,0.04576900911,7.431507e-05,Murray Hill,170,Manhattan
185,186,0.02469639022,3.7072940000000005e-05,Penn Station/Madison Sq West,186,Manhattan
193,194,0.08179383535,0.0002734817,Randalls Island,194,Manhattan
201,202,0.06992157126,0.0001061754,Roosevelt Island,202,Manhattan
208,209,0.030695311349999997,3.887034e-05,Seaport,209,Manhattan
210,211,0.02523450821,3.97292e-05,SoHo,211,Manhattan
223,224,0.04402044628000001,9.847870000000001e-05,Stuy Town/Peter Cooper Village,224,Manhattan
228,229,0.04252529001,9.470582e-05,Sutton Place/Turtle Bay North,229,Manhattan
229,230,0.031028309680000005,5.6091450000000007e-05,Times Sq/Theatre District,230,Manhattan
230,231,0.06342011656,0.00016692975,TriBeCa/Civic Center,231,Manhattan
231,232,0.06147090852999999,0.00021604997000000003,Two Bridges/Seward Park,232,Manhattan
232,233,0.04803591829,0.00011618809,UN/Turtle Bay South,233,Manhattan
233,234,0.0360721995,7.310544e-05,Union Sq,234,Manhattan
235,236,0.044251922310000004,0.00010286435,Upper East Side North,236,Manhattan
236,237,0.04221260034,9.598732e-05,Upper East Side South,237,Manhattan
237,238,0.0601093114,0.00018476369,Upper West Side North,238,Manhattan
238,239,0.06362611530000001,0.00020471543999999998,Upper West Side South,239,Manhattan
242,243,0.09433149994,0.00043837734000000004,Washington Heights North,243,Manhattan
243,244,0.08056860446,0.00035970275000000003,Washington Heights South,244,Manhattan
245,246,0.06946719374,0.00028129833,West Chelsea/Hudson Yards,246,Manhattan
248,249,0.036384343650000005,7.22156e-05,West Village,249,Manhattan
260,261,0.027120456360000003,3.434232e-05,World Trade Center,261,Manhattan
261,262,0.049063623150000006,0.00012233027,Yorkville East,262,Manhattan
262,263,0.037016625299999995,6.576977e-05,Yorkville West,263,Manhattan
